lat,lon,co2
89.5,-180.0,-9999.0
89.5,-177.5,-9999.0
89.5,-175.0,-9999.0
89.5,-172.5,-9999.0
89.5,-170.0,0.000369772
89.5,-167.5,-9999.0
89.5,-165.0,-9999.0
89.5,-162.5,-9999.0
89.5,-160.0,-9999.0
89.5,-157.5,-9999.0
89.5,-155.0,-9999.0
89.5,-152.5,-9999.0
89.5,-150.0,0.000374055
89.5,-147.5,-9999.0
89.5,-145.0,-9999.0
89.5,-142.5,-9999.0
89.5,-140.0,-9999.0
89.5,-137.5,-9999.0
89.5,-135.0,-9999.0
89.5,-132.5,-9999.0
89.5,-130.0,-9999.0
89.5,-127.5,-9999.0
89.5,-125.0,-9999.0
89.5,-122.5,-9999.0
89.5,-120.0,0.000381918
89.5,-117.5,-9999.0
89.5,-115.0,-9999.0
89.5,-112.5,-9999.0
89.5,-110.0,-9999.0
89.5,-107.5,-9999.0
89.5,-105.0,-9999.0
89.5,-102.5,-9999.0
89.5,-100.0,-9999.0
89.5,-97.5,-9999.0
89.5,-95.0,-9999.0
89.5,-92.5,-9999.0
89.5,-90.0,-9999.0
89.5,-87.5,-9999.0
89.5,-85.0,-9999.0
89.5,-82.5,-9999.0
89.5,-80.0,-9999.0
89.5,-77.5,-9999.0
89.5,-75.0,-9999.0
89.5,-72.5,-9999.0
89.5,-70.0,-9999.0
89.5,-67.5,-9999.0
89.5,-65.0,-9999.0
89.5,-62.5,-9999.0
89.5,-60.0,-9999.0
89.5,-57.5,0.00037643602
89.5,-55.0,-9999.0
89.5,-52.5,-9999.0
89.5,-50.0,-9999.0
89.5,-47.5,-9999.0
89.5,-45.0,-9999.0
89.5,-42.5,-9999.0
89.5,-40.0,-9999.0
89.5,-37.5,-9999.0
89.5,-35.0,-9999.0
89.5,-32.5,-9999.0
89.5,-30.0,-9999.0
89.5,-27.5,-9999.0
89.5,-25.0,-9999.0
89.5,-22.5,-9999.0
89.5,-20.0,-9999.0
89.5,-17.5,-9999.0
89.5,-15.0,-9999.0
89.5,-12.5,-9999.0
89.5,-10.0,-9999.0
89.5,-7.5,-9999.0
89.5,-5.0,-9999.0
89.5,-2.5,-9999.0
89.5,0.0,-9999.0
89.5,2.5,-9999.0
89.5,5.0,-9999.0
89.5,7.5,-9999.0
89.5,10.0,-9999.0
89.5,12.5,0.000354589
89.5,15.0,-9999.0
89.5,17.5,-9999.0
89.5,20.0,-9999.0
89.5,22.5,-9999.0
89.5,25.0,-9999.0
89.5,27.5,-9999.0
89.5,30.0,-9999.0
89.5,32.5,-9999.0
89.5,35.0,-9999.0
89.5,37.5,-9999.0
89.5,40.0,-9999.0
89.5,42.5,-9999.0
89.5,45.0,-9999.0
89.5,47.5,-9999.0
89.5,50.0,-9999.0
89.5,52.5,-9999.0
89.5,55.0,-9999.0
89.5,57.5,-9999.0
89.5,60.0,-9999.0
89.5,62.5,-9999.0
89.5,65.0,-9999.0
89.5,67.5,-9999.0
89.5,70.0,-9999.0
89.5,72.5,-9999.0
89.5,75.0,-9999.0
89.5,77.5,0.000376986
89.5,80.0,-9999.0
89.5,82.5,-9999.0
89.5,85.0,-9999.0
89.5,87.5,-9999.0
89.5,90.0,-9999.0
89.5,92.5,-9999.0
89.5,95.0,-9999.0
89.5,97.5,-9999.0
89.5,100.0,-9999.0
89.5,102.5,-9999.0
89.5,105.0,-9999.0
89.5,107.5,-9999.0
89.5,110.0,-9999.0
89.5,112.5,-9999.0
89.5,115.0,-9999.0
89.5,117.5,-9999.0
89.5,120.0,-9999.0
89.5,122.5,-9999.0
89.5,125.0,-9999.0
89.5,127.5,-9999.0
89.5,130.0,-9999.0
89.5,132.5,-9999.0
89.5,135.0,-9999.0
89.5,137.5,-9999.0
89.5,140.0,-9999.0
89.5,142.5,-9999.0
89.5,145.0,-9999.0
89.5,147.5,-9999.0
89.5,150.0,-9999.0
89.5,152.5,-9999.0
89.5,155.0,-9999.0
89.5,157.5,-9999.0
89.5,160.0,-9999.0
89.5,162.5,-9999.0
89.5,165.0,-9999.0
89.5,167.5,-9999.0
89.5,170.0,0.00037149098
89.5,172.5,-9999.0
89.5,175.0,-9999.0
89.5,177.5,-9999.0
88.0,-180.0,0.00037410998
88.0,-177.5,0.00037014758
88.0,-175.0,-9999.0
88.0,-172.5,-9999.0
88.0,-170.0,0.000373892
88.0,-167.5,-9999.0
88.0,-165.0,0.0003731416
88.0,-162.5,0.000361793
88.0,-160.0,0.0003761005
88.0,-157.5,0.000367355
88.0,-155.0,0.0003746495
88.0,-152.5,-9999.0
88.0,-150.0,0.00037164998
88.0,-147.5,0.00037906299
88.0,-145.0,0.0003757407
88.0,-142.5,0.00036527033
88.0,-140.0,0.000370123
88.0,-137.5,0.0003724655
88.0,-135.0,0.0003790615
88.0,-132.5,0.00037282732
88.0,-130.0,-9999.0
88.0,-127.5,0.000368957
88.0,-125.0,0.000379341
88.0,-122.5,0.00036868773
88.0,-120.0,0.00036992802
88.0,-117.5,0.0003726185
88.0,-115.0,0.000376445
88.0,-112.5,0.00037089252
88.0,-110.0,0.00037067948
88.0,-107.5,0.00036821802
88.0,-105.0,0.000369563
88.0,-102.5,0.00036744602
88.0,-100.0,0.000373199
88.0,-97.5,0.00036543302
88.0,-95.0,-9999.0
88.0,-92.5,0.000376517
88.0,-90.0,0.000369159
88.0,-87.5,0.000371344
88.0,-85.0,0.00037644102
88.0,-82.5,0.00037554934
88.0,-80.0,0.00037394476
88.0,-77.5,0.00037602533
88.0,-75.0,0.00037478752
88.0,-72.5,0.00037597702
88.0,-70.0,0.00037119
88.0,-67.5,0.0003718225
88.0,-65.0,0.000380526
88.0,-62.5,0.00037321568
88.0,-60.0,-9999.0
88.0,-57.5,0.00037189326
88.0,-55.0,0.000363734
88.0,-52.5,0.000375475
88.0,-50.0,0.00037965202
88.0,-47.5,-9999.0
88.0,-45.0,0.00036271548
88.0,-42.5,0.000370808
88.0,-40.0,0.00036592933
88.0,-37.5,0.00036702165
88.0,-35.0,0.0003682467
88.0,-32.5,-9999.0
88.0,-30.0,0.00037298998
88.0,-27.5,0.000364195
88.0,-25.0,-9999.0
88.0,-22.5,0.00036221198
88.0,-20.0,0.0003673965
88.0,-17.5,0.00036588602
88.0,-15.0,0.00036424733
88.0,-12.5,0.00036660268
88.0,-10.0,0.00036913503
88.0,-7.5,0.00035525102
88.0,-5.0,-9999.0
88.0,-2.5,0.00037022668
88.0,0.0,0.000373134
88.0,2.5,0.000372994
88.0,5.0,0.0003717173
88.0,7.5,0.000371104
88.0,10.0,0.000375546
88.0,12.5,0.000373596
88.0,15.0,-9999.0
88.0,17.5,-9999.0
88.0,20.0,0.0003684655
88.0,22.5,0.000368417
88.0,25.0,0.00037499602
88.0,27.5,0.00037100833
88.0,30.0,0.00037139302
88.0,32.5,0.000380491
88.0,35.0,0.000368594
88.0,37.5,0.0003742505
88.0,40.0,0.000379784
